Kab. Bolaang Mongondow Utara,university,2023
Kab. Bombana,elementary,32549
Kab. Bombana,high school,15775
Kab. Bombana,junior high school,15367
Kab. Bombana,less than elementary,11977
Kab. Bombana,university,4398
Kab. Bondowoso,elementary,218861
Kab. Bondowoso,high school,55937
Kab. Bondowoso,junior high school,70301
Kab. Bondowoso,less than elementary,59631
Kab. Bondowoso,university,16491
Kab. Bone,elementary,183121
Kab. Bone,high school,75203
Kab. Bone,junior high school,75921
Kab. Bone,less than elementary,44695
Kab. Bone,university,25658
Kab. Bone Bolango,elementary,32637
Kab. Bone Bolango,high school,18852
Kab. Bone Bolango,junior high school,16589
Kab. Bone Bolango,less than elementary,21182
Kab. Bone Bolango,university,4745
Kab. Boven Digoel,elementary,9559
Kab. Boven Digoel,high school,8837
Kab. Boven Digoel,junior high school,6563
Kab. Boven Digoel,less than elementary,4159
Kab. Boven Digoel,university,1547
Kab. Boyolali,elementary,233077
Kab. Boyolali,high school,139519
Kab. Boyolali,junior high school,153358
Kab. Boyolali,less than elementary,37686
Kab. Boyolali,university,35275
Kab. Brebes,elementary,555482
Kab. Brebes,high school,117113
Kab. Brebes,junior high school,199630
Kab. Brebes,less than elementary,162507
Kab. Brebes,university,33546
Kab. Buleleng,elementary,164025
Kab. Buleleng,high school,89185
Kab. Buleleng,junior high school,75301
Kab. Buleleng,less than elementary,39427
Kab. Buleleng,university,22920
Kab. Bulukumba,elementary,85540
Kab. Bulukumba,high school,50711
Kab. Bulukumba,junior high school,47958
Kab. Bulukumba,less than elementary,21999
Kab. Bulukumba,university,15716
Kab. Bulungan,elementary,21936
Kab. Bulungan,high school,17553
Kab. Bulungan,junior high school,15425
Kab. Bulungan,less than elementary,8833
Kab. Bulungan,university,5275
Kab. Bungo,elementary,72112
Kab. Bungo,high school,44886
Kab. Bungo,junior high school,47930
Kab. Bungo,less than elementary,18928
Kab. Bungo,university,11070
Kab. Buol,elementary,32184
Kab. Buol,high school,14650
Kab. Buol,junior high school,19616
Kab. Buol,less than elementary,8937
Kab. Buol,university,4684
Kab. Buru,elementary,18709
Kab. Buru,high school,14981
Kab. Buru,junior high school,14266
Kab. Buru,less than elementary,6505
Kab. Buru,university,4090
Kab. Buru Selatan,elementary,10253
Kab. Buru Selatan,high school,5475
Kab. Buru Selatan,junior high school,6295
Kab. Buru Selatan,less than elementary,2409
Kab. Buru Selatan,university,1467
Kab. Buton,elementary,45073
Kab. Buton,high school,22433
Kab. Buton,junior high school,29091
Kab. Buton,less than elementary,18678
Kab. Buton,university,6771
Kab. Buton Utara,elementary,10472
Kab. Buton Utara,high school,6119
Kab. Buton Utara,junior high school,7052
Kab. Buton Utara,less than elementary,3457
Kab. Buton Utara,university,2178
Kab. Ciamis,elementary,653621
Kab. Ciamis,high school,131662
Kab. Ciamis,junior high school,224512
Kab. Ciamis,less than elementary,40630
Kab. Ciamis,university,39051
Kab. Cianjur,elementary,931401
Kab. Cianjur,high school,163204
Kab. Cianjur,junior high school,228767
Kab. Cianjur,less than elementary,81039
Kab. Cianjur,university,38745
Kab. Cilacap,elementary,512389
Kab. Cilacap,high school,169880
Kab. Cilacap,junior high school,241148
Kab. Cilacap,less than elementary,121057
Kab. Cilacap,university,43078
Kab. Cirebon,elementary,607497
Kab. Cirebon,high school,243127
Kab. Cirebon,junior high school,285423
Kab. Cirebon,less than elementary,138003
Kab. Cirebon,university,51954
Kab. Dairi,elementary,46171
Kab. Dairi,high school,44250
Kab. Dairi,junior high school,52817
Kab. Dairi,less than elementary,11962
Kab. Dairi,university,8912
Kab. Deiyai,elementary,3154
Kab. Deiyai,high school,3111
Kab. Deiyai,junior high school,3534
Kab. Deiyai,less than elementary,5741
Kab. Deiyai,university,485
Kab. Deli Serdang,elementary,280389
Kab. Deli Serdang,high school,474102
Kab. Deli Serdang,junior high school,330539
Kab. Deli Serdang,less than elementary,46032
Kab. Deli Serdang,university,77876
Kab. Demak,elementary,314010
Kab. Demak,high school,126318
Kab. Demak,junior high school,197650
Kab. Demak,less than elementary,46568
Kab. Demak,university,28855
Kab. Dharmas Raya,elementary,45272
Kab. Dharmas Raya,high school,27121
Kab. Dharmas Raya,junior high school,33107
Kab. Dharmas Raya,less than elementary,12867
Kab. Dharmas Raya,university,7262
Kab. Dogiyai,elementary,5224
Kab. Dogiyai,high school,3613
Kab. Dogiyai,junior high school,5395
Kab. Dogiyai,less than elementary,2518
Kab. Dogiyai,university,734
Kab. Dompu,elementary,27059
Kab. Dompu,high school,32915
Kab. Dompu,junior high school,27365
Kab. Dompu,less than elementary,11075
Kab. Dompu,university,9768
Kab. Donggala,elementary,78966
Kab. Donggala,high school,26070
Kab. Donggala,junior high school,33645
Kab. Donggala,less than elementary,19129
Kab. Donggala,university,5759
Kab. Empat Lawang,elementary,62059
Kab. Empat Lawang,high school,25888
Kab. Empat Lawang,junior high school,37164
Kab. Empat Lawang,less than elementary,15330
Kab. Empat Lawang,university,3627
Kab. Ende,elementary,58413
Kab. Ende,high school,35121
Kab. Ende,junior high school,27165
Kab. Ende,less than elementary,29274
Kab. Ende,university,10279
Kab. Enrekang,elementary,31049
Kab. Enrekang,high school,27645
Kab. Enrekang,junior high school,27833
Kab. Enrekang,less than elementary,10819
Kab. Enrekang,university,10050
Kab. Fakfak,elementary,11542
Kab. Fakfak,high school,12880
Kab. Fakfak,junior high school,10258
Kab. Fakfak,less than elementary,2821
Kab. Fakfak,university,3980
Kab. Flores Timur,elementary,64064
Kab. Flores Timur,high school,22674
Kab. Flores Timur,junior high school,22954
Kab. Flores Timur,less than elementary,17379
Kab. Flores Timur,university,7041
Kab. Garut,elementary,854025
Kab. Garut,high school,228535
Kab. Garut,junior high school,321455
Kab. Garut,less than elementary,102914
Kab. Garut,university,51518
Kab. Gayo Lues,elementary,13397
Kab. Gayo Lues,high school,9628
Kab. Gayo Lues,junior high school,10532
Kab. Gayo Lues,less than elementary,4812
Kab. Gayo Lues,university,3910
Kab. Gianyar,elementary,87188
Kab. Gianyar,high school,116000
Kab. Gianyar,junior high school,62219
Kab. Gianyar,less than elementary,13202
Kab. Gianyar,university,28226
Kab. Gorontalo,elementary,80310
Kab. Gorontalo,high school,37446
Kab. Gorontalo,junior high school,33159
Kab. Gorontalo,less than elementary,70832
Kab. Gorontalo,university,10129
Kab. Gorontalo Utara,elementary,27142
Kab. Gorontalo Utara,high school,7042
Kab. Gorontalo Utara,junior high school,9202
Kab. Gorontalo Utara,less than elementary,20675
Kab. Gorontalo Utara,university,1915
Kab. Gowa,elementary,117181
Kab. Gowa,high school,103260
Kab. Gowa,junior high school,82578
Kab. Gowa,less than elementary,30989
Kab. Gowa,university,28915
Kab. Gresik,elementary,253942
Kab. Gresik,high school,261433
Kab. Gresik,junior high school,211223
Kab. Gresik,less than elementary,39224
Kab. Gresik,university,57079
Kab. Grobogan,elementary,501910
Kab. Grobogan,high school,102402
Kab. Grobogan,junior high school,203231
Kab. Grobogan,less than elementary,49267
Kab. Grobogan,university,26590
Kab. Gunung Kidul,elementary,178868
Kab. Gunung Kidul,high school,76478
Kab. Gunung Kidul,junior high school,114674
Kab. Gunung Kidul,less than elementary,30256
Kab. Gunung Kidul,university,17573
Kab. Gunung Mas,elementary,21736
Kab. Gunung Mas,high school,13531
Kab. Gunung Mas,junior high school,19580
Kab. Gunung Mas,less than elementary,4163
Kab. Gunung Mas,university,4200
Kab. Halmahera Barat,elementary,21946
Kab. Halmahera Barat,high school,13031
Kab. Halmahera Barat,junior high school,14129
Kab. Halmahera Barat,less than elementary,8748
Kab. Halmahera Barat,university,3722
Kab. Halmahera Selatan,elementary,49923
Kab. Halmahera Selatan,high school,20132
Kab. Halmahera Selatan,junior high school,27897
Kab. Halmahera Selatan,less than elementary,12502
Kab. Halmahera Selatan,university,4890
Kab. Halmahera Tengah,elementary,8845
Kab. Halmahera Tengah,high school,4907
Kab. Halmahera Tengah,junior high school,5805
Kab. Halmahera Tengah,less than elementary,3061
Kab. Halmahera Tengah,university,2220
Kab. Halmahera Timur,elementary,16748
Kab. Halmahera Timur,high school,8300
Kab. Halmahera Timur,junior high school,10049
Kab. Halmahera Timur,less than elementary,6361
Kab. Halmahera Timur,university,2429
Kab. Halmahera Utara,elementary,34451
Kab. Halmahera Utara,high school,24060
Kab. Halmahera Utara,junior high school,25086
Kab. Halmahera Utara,less than elementary,11205
Kab. Halmahera Utara,university,4981
Kab. Hulu Sungai Selatan,elementary,63185
Kab. Hulu Sungai Selatan,high school,23846
Kab. Hulu Sungai Selatan,junior high school,26096
Kab. Hulu Sungai Selatan,less than elementary,24011
Kab. Hulu Sungai Selatan,university,8082
Kab. Hulu Sungai Tengah,elementary,71102
Kab. Hulu Sungai Tengah,high school,29338
Kab. Hulu Sungai Tengah,junior high school,35025
Kab. Hulu Sungai Tengah,less than elementary,23133
Kab. Hulu Sungai Tengah,university,8834
Kab. Hulu Sungai Utara,elementary,62116
Kab. Hulu Sungai Utara,high school,19851
Kab. Hulu Sungai Utara,junior high school,27863
Kab. Hulu Sungai Utara,less than elementary,21749
Kab. Hulu Sungai Utara,university,8003
Kab. Humbang Hasundutan,elementary,23700
Kab. Humbang Hasundutan,high school,30650
Kab. Humbang Hasundutan,junior high school,32930
Kab. Humbang Hasundutan,less than elementary,6243
Kab. Humbang Hasundutan,university,5794
Kab. Indragiri Hilir,elementary,210433
Kab. Indragiri Hilir,high school,69176
Kab. Indragiri Hilir,junior high school,95214
Kab. Indragiri Hilir,less than elementary,45528
Kab. Indragiri Hilir,university,14673
Kab. Indragiri Hulu,elementary,88055
Kab. Indragiri Hulu,high school,54202
Kab. Indragiri Hulu,junior high school,57542
Kab. Indragiri Hulu,less than elementary,21699
Kab. Indragiri Hulu,university,11879
Kab. Indramayu,elementary,437316
Kab. Indramayu,high school,142474
Kab. Indramayu,junior high school,221434
Kab. Indramayu,less than elementary,131333
Kab. Indramayu,university,32113
Kab. Intan Jaya,elementary,2241
Kab. Intan Jaya,high school,1175
Kab. Intan Jaya,junior high school,1557
Kab. Intan Jaya,less than elementary,653
Kab. Intan Jaya,university,283
Kab. Jayapura,elementary,14697
Kab. Jayapura,high school,28382
Kab. Jayapura,junior high school,17346
Kab. Jayapura,less than elementary,3951
Kab. Jayapura,university,5907
Kab. Jayawijaya,elementary,15164
Kab. Jayawijaya,high school,20805
Kab. Jayawijaya,junior high school,19032
Kab. Jayawijaya,less than elementary,5946
Kab. Jayawijaya,university,5700
Kab. Jember,elementary,648296
Kab. Jember,high school,243019
Kab. Jember,junior high school,276203
Kab. Jember,less than elementary,159427
Kab. Jember,university,63874
Kab. Jembrana,elementary,77764
Kab. Jembrana,high school,44425
Kab. Jembrana,junior high school,37241
Kab. Jembrana,less than elementary,7925
Kab. Jembrana,university,9409
Kab. Jeneponto,elementary,66046
Kab. Jeneponto,high school,33447
Kab. Jeneponto,junior high school,40761
Kab. Jeneponto,less than elementary,24768
Kab. Jeneponto,university,10897
Kab. Jepara,elementary,328156
Kab. Jepara,high school,120011
Kab. Jepara,junior high school,212754
Kab. Jepara,less than elementary,48726
Kab. Jepara,university,29098
Kab. Jombang,elementary,280754
Kab. Jombang,high school,207092
Kab. Jombang,junior high school,239897
Kab. Jombang,less than elementary,60823
Kab. Jombang,university,41668
Kab. Kaimana,elementary,7945
Kab. Kaimana,high school,7638
Kab. Kaimana,junior high school,7244
Kab. Kaimana,less than elementary,3150
Kab. Kaimana,university,1846
Kab. Kampar,elementary,143553
Kab. Kampar,high school,126209
Kab. Kampar,junior high school,124670
Kab. Kampar,less than elementary,23315
Kab. Kampar,university,26464
Kab. Kapuas,elementary,101157
Kab. Kapuas,high school,34062
Kab. Kapuas,junior high school,48176
Kab. Kapuas,less than elementary,24792
Kab. Kapuas,university,10591
Kab. Kapuas Hulu,elementary,54533
Kab. Kapuas Hulu,high school,23459
Kab. Kapuas Hulu,junior high school,28587
Kab. Kapuas Hulu,less than elementary,20380
Kab. Kapuas Hulu,university,6475
Kab. Karang Asem,elementary,89069
Kab. Karang Asem,high school,37850
Kab. Karang Asem,junior high school,39520
Kab. Karang Asem,less than elementary,20060
Kab. Karang Asem,university,11268
Kab. Karanganyar,elementary,190907
Kab. Karanganyar,high school,133492
Kab. Karanganyar,junior high school,146434
Kab. Karanganyar,less than elementary,23214
Kab. Karanganyar,university,42356
Kab. Karawang,elementary,570519
Kab. Karawang,high school,309715
Kab. Karawang,junior high school,295921
Kab. Karawang,less than elementary,144828
Kab. Karawang,university,51847
Kab. Karimun,elementary,56210
Kab. Karimun,high school,31627
Kab. Karimun,junior high school,28290
Kab. Karimun,less than elementary,14006
Kab. Karimun,university,7404
Kab. Karo,elementary,60508
Kab. Karo,high school,77728
Kab. Karo,junior high school,63613
Kab. Karo,less than elementary,13098
Kab. Karo,university,15747
Kab. Katingan,elementary,40768
Kab. Katingan,high school,17777
Kab. Katingan,junior high school,25512
Kab. Katingan,less than elementary,8368
Kab. Katingan,university,4570
Kab. Kaur,elementary,24796
Kab. Kaur,high school,15540
Kab. Kaur,junior high school,16776
Kab. Kaur,less than elementary,9494
Kab. Kaur,university,3529
Kab. Kayong Utara,elementary,20942
Kab. Kayong Utara,high school,5498
Kab. Kayong Utara,junior high school,8821
Kab. Kayong Utara,less than elementary,13844
Kab. Kayong Utara,university,1789
Kab. Kebumen,elementary,367914
Kab. Kebumen,high school,130542
Kab. Kebumen,junior high school,178161
Kab. Kebumen,less than elementary,62872
Kab. Kebumen,university,30464
Kab. Kediri,elementary,407549
Kab. Kediri,high school,223632
