Kab. Halmahera Tengah,Tamat SLTA,4907
Kab. Halmahera Tengah,Tamat SLTP,5805
Kab. Halmahera Tengah,Tidak/Belum Tamat SD,3061
Kab. Halmahera Timur,Tamat PT,2429
Kab. Halmahera Timur,Tamat SD,16748
Kab. Halmahera Timur,Tamat SLTA,8300
Kab. Halmahera Timur,Tamat SLTP,10049
Kab. Halmahera Timur,Tidak/Belum Tamat SD,6361
Kab. Halmahera Utara,Tamat PT,4981
Kab. Halmahera Utara,Tamat SD,34451
Kab. Halmahera Utara,Tamat SLTA,24060
Kab. Halmahera Utara,Tamat SLTP,25086
Kab. Halmahera Utara,Tidak/Belum Tamat SD,11205
Kab. Hulu Sungai Selatan,Tamat PT,8082
Kab. Hulu Sungai Selatan,Tamat SD,63185
Kab. Hulu Sungai Selatan,Tamat SLTA,23846
Kab. Hulu Sungai Selatan,Tamat SLTP,26096
Kab. Hulu Sungai Selatan,Tidak/Belum Tamat SD,24011
Kab. Hulu Sungai Tengah,Tamat PT,8834
Kab. Hulu Sungai Tengah,Tamat SD,71102
Kab. Hulu Sungai Tengah,Tamat SLTA,29338
Kab. Hulu Sungai Tengah,Tamat SLTP,35025
Kab. Hulu Sungai Tengah,Tidak/Belum Tamat SD,23133
Kab. Hulu Sungai Utara,Tamat PT,8003
Kab. Hulu Sungai Utara,Tamat SD,62116
Kab. Hulu Sungai Utara,Tamat SLTA,19851
Kab. Hulu Sungai Utara,Tamat SLTP,27863
Kab. Hulu Sungai Utara,Tidak/Belum Tamat SD,21749
Kab. Humbang Hasundutan,Tamat PT,5794
Kab. Humbang Hasundutan,Tamat SD,23700
Kab. Humbang Hasundutan,Tamat SLTA,30650
Kab. Humbang Hasundutan,Tamat SLTP,32930
Kab. Humbang Hasundutan,Tidak/Belum Tamat SD,6243
Kab. Indragiri Hilir,Tamat PT,14673
Kab. Indragiri Hilir,Tamat SD,210433
Kab. Indragiri Hilir,Tamat SLTA,69176
Kab. Indragiri Hilir,Tamat SLTP,95214
